step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.0002, 974600.5210637834, 47446.93546644451, 0.1, 1279877556082.908, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1926316.0268932185, 17618.501437918327, 1.5451974384718765, 3563358623935.874, 5e-10]"
0,"[1000000, 1000000]","[0.09692826584805159, 0.001, 1018376.3595709627, 9816.274436792139, 1.6139263115617115, 1985904641701.4465, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1784886.4361695445, 11942.89436537243, 0.5577169884832807, 4252666924973.3936, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1717686.8799719252, 38149.19212045757, 0.1, 3412047200910.7734, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1066576.3180613762, 46297.2050011999, 0.5539678394415133, 151810418611.0088, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 802619.7561079654, 30822.11824623594, 0.777884875532791, 3004458523137.3647, 5e-10]"
0,"[1000000, 1000000]","[0.0379209074357188, 0.0002, 1554697.023916593, 28116.69684863886, 0.4979994062476706, 4615717905837.415, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1529628.5403342769, 25271.92398010608, 1.0702460815105892, 2234580254065.906, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 897090.1738385395, 41908.548163764724, 1.1385875987298555, 3728399068780.935, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1554696.1624313574, 28118.397503203847, 0.31196941397121325, 4615717905837.337, 5e-10]"
0,"[0.46990430872994876, 1.4285007760695248e-13]","[0.01, 0.001, 1529628.6429457392, 25270.98167640657, 1.21684875941783, 2234580254066.185, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1018378.5709760309, 9815.510736407969, 1.698173388269456, 1985904641700.5684, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1503395.6639003165, 36592.65088730877, 1.1396122974669431, 3829388291802.9062, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1529628.045525029, 25271.36323552039, 0.766788234415944, 2234580254065.7744, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 385847.3674984627, 5733.497300597191, 2.0, 204264267377.7085, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1174944.52050242, 12493.406672989431, 2.0, 3873115738506.3423, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 385847.92502285284, 5734.054224237866, 1.5753133338504453, 204264267377.3922, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1402262.3893969888, 24585.05452658122, 0.510878561570768, 2628982798984.6606, 7.5e-08]"
0,"[1000000, 1000000]","[0.06759054821883576, 0.0002, 663965.6027773476, 15841.101147990128, 1.7857598836609738, 1724847147271.615, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1857747.383710469, 45870.81997915458, 0.8032143220041547, 2437065893514.061, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1926315.7572977245, 17617.736296152812, 1.2289016637929897, 3563358623936.4873, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 385847.3428212994, 5733.519238992194, 1.3955595622904773, 204264267377.79343, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1018376.3543568327, 9815.073659115262, 1.2971456425809904, 1985904641700.908, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1422416.660848724, 33395.93099423882, 1.357879067979822, 1306366714112.3352, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1554697.1099796207, 28117.811485675393, 1.3878801567729246, 4615717905836.829, 7.5e-08]"
0,"[1000000, 1000000]","[0.0649467022247998, 0.001, 1554697.370498436, 28116.75738005078, 1.2413261969721416, 4615717905837.278, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 957224.6524854196, 46577.235417997006, 0.1, 48860335861.56984, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1983299.4479897986, 8270.697105253546, 0.639441819893941, 4187062378135.9067, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 385846.6595455769, 5734.465072972869, 2.0, 204264267377.7839, 5e-10]"
0,"[1000000, 1000000]","[0.06839239847572288, 0.0002, 1395099.7438329582, 33226.10174646723, 0.7143325790946451, 886292145039.3754, 5e-10]"
0,"[1000000, 1000000]","[0.061207342201706386, 0.0002, 1066576.0284217806, 46297.10463493343, 1.3100105569558538, 151810418611.57446, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 802619.0273096267, 30821.95649090355, 0.14988073841342464, 3004458523137.3877, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 433706.47572313674, 32188.504162351674, 1.9090659805532535, 652465832173.7633, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 957225.5926277826, 46577.83570458843, 0.3061928928163813, 48860335862.348015, 7.5e-08]"
0,"[1000000, 1000000]","[0.07596669428237353, 0.001, 1403310.9308989246, 28732.041305032566, 0.1, 1579504017657.6213, 5e-10]"
0,"[1000000, 1000000]","[0.05867403428154135, 0.001, 663964.3542004749, 15840.943711285701, 0.1, 1724847147272.3945, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1001509.913382933, 35557.24229866967, 2.0, 4181735448764.581, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 802618.3144043918, 30822.057366605983, 0.1, 3004458523137.302, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 304989.71222426754, 45577.919790419044, 1.4683926486359917, 2028693361600.5093, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1402262.826658306, 24585.233315311893, 0.8455795106041246, 2628982798985.102, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 789906.2522599522, 815.1294054647977, 0.1, 182450953840.10568, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1907372.4606505898, 17452.416806136414, 0.43524237104082075, 2302247356132.803, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1983299.8510086073, 8271.457183160823, 1.158823263680539, 4187062378135.0713, 7.5e-08]"
0,"[0.11170716964703803, 7.41265574434255e-12]","[0.01, 0.001, 974600.6866685835, 47447.16421049916, 0.26695073843117256, 1279877556083.1096, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1422416.3905393989, 33394.78805635857, 1.38893842034097, 1306366714111.529, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1983299.9817087625, 8270.687897267111, 0.5850386457034723, 4187062378135.073, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1174944.9827855108, 12493.999828470682, 1.8832843601391835, 3873115738506.7407, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 317866.37001293164, 17699.435039973214, 1.6400180784977025, 3795390573205.8057, 5e-10]"
