step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.0002, 1365449.4486598545, 5641.717942406312, 1.4874637350214248, 4210839083823.193, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 587022.3719609786, 41040.9368138789, 0.34756844864937153, 438685392124.06805, 5e-10]"
0,"[0.14975630180380697, 1.1950385049239175e-11]","[0.1, 0.001, 1019414.8763967197, 47045.60536082809, 0.29809592788327527, 1489944746113.179, 7.5e-08]"
0,"[1000000, 1000000]","[0.052681850231947595, 0.001, 1969447.556822153, 4312.913189871417, 1.708381539819468, 4879852713097.997, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 901177.5808897683, 25261.944723014727, 1.179238385040877, 737830747363.8821, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 889828.7299854568, 9729.812389834911, 0.9035671190757466, 4594322851600.379, 5e-10]"
0,"[1000000, 1000000]","[0.08493871242659638, 0.0002, 901178.2703856652, 25262.1918052399, 0.8299711500501612, 737830747365.2412, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 569573.3762368575, 6098.109322237668, 2.0, 1644866445856.6484, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 478259.08827158844, 24285.57193398371, 1.061834303495466, 4411750073386.337, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1396731.550073619, 26278.46737161242, 0.4270396136544524, 1387808012438.4553, 5e-10]"
0,"[0.1064839203840023, 9.520243117340668e-15]","[0.01, 0.001, 587022.8219090729, 41041.80339651388, 0.9303586660819496, 438685392123.9359, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 587021.4218480585, 41041.47475883139, 0.1, 438685392123.55206, 7.5e-08]"
0,"[0.21517179869442685, 2.4976625082330743e-14]","[0.01, 0.001, 830020.0666380397, 9974.344794692981, 0.8594025122315927, 924218826116.6868, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 410327.2791454205, 1216.5811665029294, 1.3998987698392336, 4650285979128.46, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 512112.32074313407, 23286.888799342185, 0.11618438590465834, 947558445364.3806, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1810895.6995009652, 33146.31423485252, 0.1, 3959962987857.653, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1358303.691253314, 34788.861282693215, 0.7603820626126632, 4825072695647.497, 7.5e-08]"
0,"[1000000, 1000000]","[0.050026508103242925, 0.001, 1100035.6664100846, 38666.30188246813, 0.20867593296630432, 105676579096.90797, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1043121.2458068295, 2356.2130879870056, 0.1, 4044295758622.6245, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 343441.769714292, 32896.73339915902, 1.6362700903334395, 570181021275.3229, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1969446.9186584237, 4312.610301758555, 1.4598109037286442, 4879852713098.308, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 587022.7167467779, 41041.49251700496, 0.29478757417657814, 438685392124.0913, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1678965.341740184, 30299.290705399824, 0.1, 3988433689121.0356, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 889828.2823225352, 9729.286815443807, 0.5465496423710532, 4594322851599.755, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 901177.9843698484, 25261.06374610972, 1.7628690907693778, 737830747365.3385, 5e-10]"
0,"[1000000, 1000000]","[0.09221864543540446, 0.001, 1678965.3791670562, 30297.449956817745, 0.1, 3988433689120.623, 7.5e-08]"
0,"[0.15759348536102388, 1.902230398624478e-14]","[0.01, 0.0002, 901178.5214420971, 25262.321085018197, 1.144475836831347, 737830747363.625, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1396731.5616799514, 26279.272390833114, 0.8716223774469846, 1387808012437.7449, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1114580.5422390448, 41580.89854869119, 1.1988826588427064, 1832162508813.2605, 7.5e-08]"
