step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.0002, 1546660.2593669246, 10490.692488514904, 1.7301134415295218, 1667827643645.386, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1508854.8422286392, 17191.48543025764, 1.5480061716265474, 2318276418838.591, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1540024.2871786081, 43781.167975919845, 1.9019428093748973, 2455110100867.684, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 581518.8607015918, 31171.6666662428, 1.0997728452348605, 1836811926112.3943, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1364547.3882692296, 25096.294304946627, 0.3697401670201187, 383388389566.1777, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1546660.391764297, 10490.069489727975, 1.3597390273238255, 1667827643646.2935, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 724602.3802763278, 48387.765301402585, 0.47875483366455823, 1255480580983.588, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 329496.17415693175, 18338.60809393818, 2.0, 4413529276155.201, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 714444.468119652, 30635.683749774114, 0.41841850000108105, 4111611833528.7275, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1149806.339752816, 35320.94837992513, 1.4776997819110156, 136532952286.32162, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 965603.4963106873, 43432.940844630255, 0.8343019447347685, 4707775982749.406, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1394203.140828587, 8398.839823495795, 2.0, 2311416640507.6523, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1578278.7930295588, 18961.449278233587, 1.0639099730163746, 3013422483195.605, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 667555.0144777569, 43182.8686456302, 0.7853523972068152, 2599655286681.8125, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 969672.495492595, 28202.894726242233, 2.0, 2639486460686.1104, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1450948.8283011026, 25787.758682580195, 0.6141478850266282, 3978233507085.585, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 811904.9125637366, 49494.01499655357, 0.8184155901940584, 2561193633174.1616, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1977002.2668110046, 31420.92492889742, 0.46636863663831274, 2754265633329.854, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1214478.5595816257, 45078.39042496504, 1.8395641626535255, 2249250015565.411, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1330421.9295797755, 32889.06786966371, 1.5742555512964276, 386838035481.9085, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1459846.463656433, 10038.435504631354, 0.9176216462713084, 3979320654513.6406, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1355591.232473122, 28309.845606042527, 0.62475474617353, 1057088228989.994, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 802149.2647115554, 33424.43959438479, 1.8306676364036087, 471962836778.77057, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1989223.31462093, 44830.528357316965, 0.5461783940673144, 2018767695709.9429, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 329494.4769421117, 18339.519484617475, 1.4342404705370282, 4413529276155.973, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 981545.3002370783, 10410.67445914331, 1.190632985236216, 4479618707083.533, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 509544.4436174207, 32479.91522465026, 0.9685007898885704, 2358359450215.027, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 724602.301404015, 48387.42527150857, 0.1, 1255480580984.586, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 387785.4323194031, 12649.536436921842, 1.7926977364410699, 3031936058299.127, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1546661.603708818, 10488.910028524968, 1.8215383211831344, 1667827643646.5332, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1039995.3668159663, 39214.48247401932, 0.1, 2583152356163.979, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 714445.2571464597, 30636.820146859347, 0.6339287116080317, 4111611833527.7344, 7.5e-08]"
0,"[0.09400603973681872, 1.0248419592129298e-11]","[0.1, 0.001, 1156024.6288994504, 38986.28944511434, 0.329017862071715, 1442393482470.0723, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1355591.1589408698, 28309.03184852547, 1.039103699803482, 1057088228989.9347, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 969672.1948153967, 28201.463457760834, 1.2947962999350497, 2639486460685.5347, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 802149.059312855, 33424.182682947205, 1.66317896321576, 471962836779.3034, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1450948.5962546286, 25787.63882134039, 0.8626756333164549, 3978233507086.336, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1662466.1979347726, 31299.25933934822, 0.8924341309507395, 399465568835.3182, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 878886.2127586189, 22968.995781537247, 2.0, 4520203277240.165, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 385089.77658544545, 6927.052500285509, 0.4952663499828305, 1782876647965.2776, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 994247.3224596182, 6275.938534980937, 2.0, 2686587216631.646, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 667555.4742210695, 43183.04258868686, 0.4307332965285552, 2599655286681.329, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1640864.6756316815, 46233.062731168684, 0.6545406547539394, 3473329971424.328, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1157841.7164918743, 35042.003505504945, 0.9155839166577254, 3314971273283.1436, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1578278.2253600354, 18960.931865052342, 0.8164803183089346, 3013422483195.0586, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 981544.2737335004, 10410.75294394298, 0.6967448332756248, 4479618707084.596, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1595064.256681561, 8301.583979348758, 1.3068720788327484, 1171194815022.2034, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 873814.268138591, 34609.899025632505, 0.1, 4743940583628.502, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1166461.5736865578, 8469.483241501975, 0.6757765976492959, 4133532346309.3115, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1039993.9267514648, 39215.68552829055, 0.1, 2583152356163.811, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 1450948.2361353892, 25787.082049102988, 0.3588108255665965, 3978233507086.154, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1662466.964135354, 31298.960380586705, 0.6279715690988412, 399465568835.1386, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 969672.5416175887, 28201.153184422557, 1.844884883374975, 2639486460686.3193, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1039994.2979026552, 39214.51837402654, 0.2589657109841929, 2583152356164.166, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 581519.7453871457, 31171.33374027594, 0.6157661611968439, 1836811926112.5117, 7.5e-08]"
1,"[1000000, 1000000]","[0.07046347269270949, 0.001, 1039995.5147997348, 39214.644883985515, 0.1, 2583152356164.1963, 7.5e-08]"
1,"[1000000, 1000000]","[0.05622787691500873, 0.001, 1578277.4096588003, 18960.697979622244, 1.287751132551377, 3013422483193.9087, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 965602.920718863, 43433.8489413043, 1.362599144674066, 4707775982748.807, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1459846.1276808544, 10038.71653914107, 0.46911892482307876, 3979320654513.7637, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 667556.1194619241, 43182.49874812262, 0.1, 2599655286681.037, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 714445.2252296163, 30635.589268602926, 0.8655430070044599, 4111611833529.1753, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 878885.5343365562, 22969.196771419647, 1.4505178111865547, 4520203277240.628, 5e-10]"
