step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.0002, 408929.340314113, 31289.438380074826, 1.1559836894932793, 4703401826591.627, 5e-10]"
0,"[7.681349138698488, 7.887724989921796e-15]","[0.01, 0.001, 1586339.26165452, 3481.8643682624775, 0.7983171240430585, 494011934849.54816, 5e-10]"
0,"[1000000, 1000000]","[0.05947110827818844, 0.001, 1073223.7120028597, 16926.542239111466, 1.7313541916625808, 1091039888065.7435, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1966666.6031499186, 32645.12933310564, 1.4796548751963363, 4385885425031.39, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 600152.8077347081, 1700.8313027852712, 0.1868502207350365, 2734975128866.714, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1577771.096785811, 33371.260488061336, 0.1, 4679958281713.004, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1189281.5057734435, 40131.58650363073, 1.2443828850496403, 1926574104166.3447, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 799388.2813569074, 25365.59543216406, 0.1, 3876900383985.4194, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1986485.715755528, 14663.714850941999, 0.2905066776275939, 2079048570832.185, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1612634.8526074155, 7343.496807253535, 0.15140623673550746, 626500408646.3983, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1612636.2065135508, 7342.916155465588, 0.3591127207313791, 626500408646.6693, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1073223.3877668825, 16926.178682501653, 1.7464216463743558, 1091039888065.3741, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 755450.4941810414, 7131.077261417819, 1.5761773896229923, 4930656742503.445, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1656071.0475080756, 24476.442925504205, 1.9099413114929913, 1087451246807.8053, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1852291.2824777435, 42478.861010254455, 1.622376878021865, 4800135887187.411, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 799387.5235265273, 25364.82059405493, 0.1, 3876900383985.7637, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1136696.549201794, 1386.6668133115975, 1.9829320969127109, 719892943954.7168, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1986485.3240570019, 14662.590969933002, 0.1, 2079048570831.7825, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 410902.643056086, 12368.800859655888, 0.39592955814045605, 3423504936177.356, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 410902.78174677084, 12369.395478957642, 0.19198580881909622, 3423504936178.2593, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 916139.5517617224, 3131.112561552462, 0.27935538308740215, 791745714082.5441, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1586338.8938321685, 3482.9686745553445, 0.1, 494011934849.1357, 7.5e-08]"
0,"[1000000, 1000000]","[0.08139467307347877, 0.0002, 596242.4494124819, 4132.245554758668, 1.8553590618321292, 1031291821086.0573, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1189281.9577339059, 40132.4288919177, 1.389751412809173, 1926574104167.2134, 7.5e-08]"
