step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.001, 1094265.9417342332, 42240.085325326276, 0.5545602307691138, 4369066005993.518, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 433748.14790888346, 32643.27913399727, 0.1, 3939663110512.898, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1967234.4921525638, 20684.58938784305, 0.6964061305819547, 4411762621834.649, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1084362.6800826457, 4891.564482416872, 0.1, 3730447094269.058, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 792747.3329864019, 38993.93722276477, 0.17123098393628633, 1878401991103.9546, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1950811.9507275727, 6722.979356352755, 0.6646947893592124, 2787975428771.5737, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1940471.6349310954, 43717.45827536384, 1.089870665074184, 3666835993523.163, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 433747.13540060644, 32642.4680978318, 1.0842251941159906, 3939663110513.729, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1044891.0163367862, 21454.28753343166, 1.2163785780865153, 3813439968384.1323, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1746174.3942267874, 4095.7930155838353, 0.31219321633772723, 2283931187577.954, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 422218.2539213173, 26882.81853306114, 1.4867609781083542, 4486103822410.648, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1238051.079937841, 22947.859255800555, 1.3692904055338997, 3867007862359.368, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 433747.8397496218, 32642.566007659923, 0.4538962825049258, 3939663110512.8657, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1296150.659728826, 41303.4110460944, 0.881974988226883, 1513376749229.0984, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1044891.7063056704, 21453.921426599853, 0.7637653683236584, 3813439968383.478, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 792747.4421733689, 38992.61921194195, 1.1470363039268958, 1878401991103.234, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1094265.616416852, 42239.66398361125, 0.1, 4369066005993.7715, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1826204.9046415964, 21915.96936879091, 1.6583792855046255, 263134107670.56018, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1732540.9260670252, 42997.03598163865, 0.49231832864599967, 1985232831845.421, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1799432.424484605, 38647.03400488932, 1.0272278287680565, 3996192682463.356, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1723212.9643016132, 41005.01502508982, 1.5504463892577536, 4623044866112.995, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 433747.4600133202, 32643.446806477026, 0.2756673963947426, 3939663110512.905, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 680288.2559034368, 19379.815201408535, 1.0292502555418084, 3026405521536.931, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1769181.804744073, 30605.767484196964, 1.1657535753569404, 514164152906.22534, 5e-10]"
0,"[0.23516722329089246, 4.2728902741208515e-13]","[0.01, 0.0002, 433747.9021332364, 32642.890324638072, 0.1528684322660825, 3939663110513.176, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1362032.540885422, 48838.5440746798, 1.354499460529998, 4106332048938.5884, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1296150.942045385, 41303.713096779014, 0.47294768507180474, 1513376749229.3186, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1826204.2726172034, 21915.81876066846, 0.9823688497365063, 263134107669.58038, 5e-10]"
0,"[1000000, 1000000]","[0.08633921974756852, 0.0002, 1568251.9995340977, 3189.735092528767, 1.9124815892418185, 3018805091148.492, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1472281.9018750123, 47739.95700235744, 0.1, 1645405786958.1848, 5e-10]"
0,"[1000000, 1000000]","[0.03913583639835236, 0.001, 1723212.7337827957, 41004.85561313726, 1.3682877758410465, 4623044866113.266, 5e-10]"
0,"[1000000, 1000000]","[0.06867194363573006, 0.0002, 433746.75163214724, 32643.082675405516, 0.33148214346986116, 3939663110512.5483, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 766287.8932745603, 27166.231654548814, 0.2135133033662664, 1821755087641.4358, 5e-10]"
0,"[1000000, 1000000]","[0.03455810518611364, 0.001, 1716931.7766554067, 14945.110541976552, 1.1255396700298606, 3618542403974.332, 5e-10]"
0,"[0.15961129214594177, 5.429145915697817e-15]","[0.01, 0.001, 818346.3748061815, 9983.079960372666, 1.9792805377474587, 351525931439.4105, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1732541.5575090398, 42996.5774819067, 0.1, 1985232831844.598, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1746173.1421505532, 4096.91160794296, 0.1, 2283931187577.4575, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1152104.3085056092, 5875.148978618723, 2.0, 1080777901877.9525, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1738084.3905399384, 49371.18993645912, 1.7723759688266443, 1944605193093.0293, 7.5e-08]"
