step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.0002, 783027.0639631137, 5152.904417158372, 0.1, 3226354285665.6694, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1405593.3715458445, 48474.51225345873, 0.8607229980580053, 3654156941957.1665, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 488797.0354043858, 16804.05246685303, 0.7508240541332099, 1424024818543.2004, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1408069.6116496657, 25728.52544061552, 0.1, 2008421950844.0288, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 848556.618416768, 7337.393870276546, 0.8831912250364495, 4188667880248.644, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1630947.020023637, 13787.222497571829, 0.2926558241086181, 4688148617306.184, 5e-10]"
0,"[0.11257280145682762, 2.188209557016027e-11]","[0.01, 0.001, 1086456.4461837895, 14447.709669113552, 0.4367115247491373, 2204225044756.0215, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 683062.9985743666, 27132.874835011604, 1.7049756668685638, 2366482134462.201, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1812597.9310078959, 36986.11091481271, 0.1, 3903650607270.2256, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 461505.67326030746, 5097.2465785632985, 1.0971793340511429, 546912553826.72, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1871157.3882648412, 10298.436785817297, 2.0, 4055037391826.199, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1871157.5812081036, 10297.89074761093, 1.7974397185188875, 4055037391825.823, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 352170.20484070934, 5708.4316380651535, 1.019067672791235, 2172828326190.2485, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1932560.957278201, 18953.836339628153, 0.7762358996392789, 1984301746525.0752, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1222819.3853068259, 12219.032890265073, 0.7356296446550812, 318106161205.6484, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 517072.0211631901, 41683.25060830538, 0.1, 1066454194414.2135, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1405593.3217770134, 48473.79537335735, 0.1, 3654156941956.8267, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 966440.6288823953, 37035.46841251572, 0.1, 3423439635237.993, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1715201.6545930163, 36229.79818043786, 0.9386215142222696, 2745605932694.5635, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1871157.8736223285, 10297.752907525095, 1.5262001278462867, 4055037391826.6753, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1125260.2483058665, 17354.888882988824, 1.652350942791745, 4498121514977.572, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 908908.1249175245, 10794.090161225406, 2.0, 80891656549.08548, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 857075.4503173756, 39090.36615709551, 1.2622495341838968, 3573578981022.0557, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 540236.9166025909, 3362.346089241799, 1.798947584019893, 280664881031.77814, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1542854.809061516, 33173.27815023641, 2.0, 3333761722969.688, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 557359.9881031108, 5636.701401181594, 1.2811389305834195, 479581608658.1487, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 512080.4281108139, 49642.527415981844, 0.7999679664061777, 3579810960301.462, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 939713.0806495046, 2798.2522214027863, 1.8153800995677196, 848396363860.5908, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 360530.880517738, 28354.301029298425, 1.713999807849358, 4922163087302.537, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 659649.7373381259, 31341.766917609155, 0.17241614150579518, 681271605867.9249, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1938996.9089784534, 30150.16227994925, 0.8836005326858691, 1561588539662.352, 7.5e-08]"
0,"[1000000, 1000000]","[0.0849878706126238, 0.0002, 1558223.2669051972, 10657.718853891116, 1.270016187171832, 773865802685.2113, 5e-10]"
0,"[0.457068203745854, 2.044558890510514e-14]","[0.1, 0.001, 939712.5164003427, 2798.2658079398743, 0.8085411611586882, 848396363860.3203, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 966441.011025611, 37034.844764423935, 0.2783277491803644, 3423439635237.988, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1630946.2580697893, 13787.174820554874, 0.5450087998019818, 4688148617305.303, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 549346.347243295, 6403.231422537002, 1.1316109720621945, 3354790591967.21, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 360531.70581475244, 28355.09922328182, 1.3699424767934512, 4922163087302.442, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 683062.6815114991, 27132.882483222627, 0.6600837631793527, 2366482134463.0264, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1938997.3047169966, 30150.573845363047, 1.742974179700263, 1561588539662.6714, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1812596.7683497593, 36986.19451767464, 0.1, 3903650607270.9697, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 379468.17292366625, 27851.27455645127, 0.5078860255093335, 3660538739718.207, 7.5e-08]"
