0.4700156422	0
	
0.4895996273	4.00E-04
	
0.5091836123	0.0012
	
0.5287675974	0.0047
	
0.5483515825	0.0085
	
0.5679355676	0.021
	
0.5875195527	0.0538
	
0.6071035378	0.0924
	
0.6266875229	0.1659
	
0.646271508	0.2633
	
0.6658554931	0.3643
	
0.6854394782	0.4979
	
0.7050234632	0.6078
	
0.7246074483	0.7242
	
0.7441914334	0.7992
	
0.7637754185	0.8677
	
0.7833594036	0.9129
	
0.8029433887	0.9406
	
0.8225273738	0.9576
	
0.8421113589	0.971
	
0.861695344	0.983
	
0.8812793291	0.9844
	
0.9008633141	0.9898
	
0.9204472992	0.9921
	
0.9400312843	0.9964
	
0.9596152694	0.9967
	
0.9791992545	0.9973
