Episode,Reward,alpha,Ki,Ms,Rp,TMR,eta,J_she,t_pulse,t_relax,d,tf,kl_div_score,energy
1,-1,0.06126003444194795,0.0002,300000.0,500.0,3,0.9040136575698852,10000000000.0,6.364442253112793e-08,6.364442253112793e-08,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,2000000.0,500.0,3,0.1,1184527283012.867,7.5e-08,7.5e-08,3e-09,1.1e-09,0.06156775138909766,6.317071589629665e-12
1,-1,0.01851576149463654,0.0002,2000000.0,500.0,3,0.1,10000000000.0,7.282271146774292e-08,7.282271146774292e-08,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,2000000.0,500.0,3,0.1,10000000000.0,5.5646577268838877e-08,5.5646577268838877e-08,3e-09,1.1e-09,0.10195192891985506,2.221335875790988e-15
1,-1,0.01,0.001,418138.09275627136,500.0,3,0.1,5000000000000.0,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0008730202674865722,1639864.2420768738,500.0,3,0.1,4613094235658.6455,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,1690231.603384018,500.0,3,0.1,4531827910542.488,4.0760930001735684e-08,4.0760930001735684e-08,3e-09,1.1e-09,0.0974042552242627,5.0215128806832545e-11
1,0,0.01,0.0002,2000000.0,50000.0,3,0.5825200617313385,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.1025174045595381,2.850821062281396e-13
1,-1,0.01,0.001,551048.3741760254,500.0,3,0.4662357434630394,5000000000000.0,7.998790055513382e-09,7.998790055513382e-09,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,2000000.0,3707.0741690695286,3,2.0,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.07872901048040391,2.0832254812664142e-14
1,-1,0.01,0.0002,300000.0,43766.54705405235,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,1438626.7364025116,500.0,3,2.0,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.06333441069014513,1.7656538406001051e-15
1,0,0.01,0.0002,2000000.0,500.0,3,1.4816420078277588,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.1255848719257919,3.3061679974724177e-15
1,0,0.01,0.0002,2000000.0,26835.180431604385,3,2.0,3724555824398.9946,2.2954593002796173e-09,2.2954593002796173e-09,3e-09,1.1e-09,0.09959840002659374,1.8783140421068518e-12
1,0,0.01,0.0002,2000000.0,500.0,3,0.1,5000000000000.0,2.6623576909303667e-08,2.6623576909303667e-08,3e-09,1.1e-09,0.06706729689913808,3.9901021532673386e-11
1,0,0.01,0.0002,2000000.0,20727.92622447014,3,0.1,723527203798.2941,7.015738916397095e-08,7.015738916397095e-08,3e-09,1.1e-09,0.06672891424589099,2.3136905553337167e-12
1,0,0.01,0.0002,2000000.0,500.0,3,0.1,286592180579.90076,2.9748064994812013e-08,2.9748064994812013e-08,3e-09,1.1e-09,0.0718172839262782,1.4751612737939836e-13
1,-1,0.01,0.0002,300000.0,24580.901503562927,3,0.1,3537853646874.4277,5.331950023770332e-08,5.331950023770332e-08,3e-09,1.1e-09,1000000,1000000
1,0,0.01,0.0002,608230.6444644928,27573.36324453354,3,1.7038798034191132,10000000000.0,6.890019953250884e-08,6.890019953250884e-08,3e-09,1.1e-09,0.0585686965771342,3.0278283301971636e-15
1,-1,0.015658366680145266,0.0002,2000000.0,500.0,3,0.48526250869035714,3721898312568.6646,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
