step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.001, 1722863.4445221722, 9182.666852643504, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1814335.4718013506, 48257.2062536264, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1038593.3557985416, 36593.00274464967, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1082378.3919480909, 18713.123766737037, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1814335.1903445486, 48257.5001615024, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1741729.2251890746, 41425.61143542218, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1432332.8696008003, 20320.877825785963, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1112209.052411336, 35120.350024854975, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 844882.4924051255, 32147.482087567176, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 704250.6789591913, 2823.8927268363914, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1112209.1591781997, 35120.8378133929, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1178875.660643563, 9223.227721603018, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 844882.071720412, 32147.046283994387, 7.5e-08]"
0,"[1000000, 1000000]","[0.016381444490085082, 0.001, 1112209.7393448325, 35120.49174723079, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 574632.4708213038, 12727.939939632588, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1900238.7644702522, 6031.539254165491, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1600005.973274788, 10007.012727460424, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1178876.603045105, 9224.443295383418, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1836768.1044496673, 3574.3575577602155, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1315662.6206621858, 41792.8234941964, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1760875.7048625946, 18749.225962662975, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1038982.4725359797, 8417.993075608605, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 844882.4897258591, 32148.013175139804, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1814335.3175217132, 48257.7625481753, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1315662.9056072622, 41792.771305147915, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1285094.6180635546, 4021.6918176839663, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1315663.0530593737, 41793.23885126262, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1046368.3049533338, 22383.685236648478, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1836766.8413463729, 3574.6760177142587, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1082378.1739382646, 18712.37113311387, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1900240.225985891, 6031.159890485347, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1760875.593362246, 18748.938688319693, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1515410.2969913636, 33440.974036269465, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1112210.5597611947, 35119.6337987647, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 911391.706446503, 42072.748653284136, 7.5e-08]"
