Wall time,Step,Value
1697665738.04611,500,0.09265802800655365
1697667179.709064,1000,0.1284054070711136
1697668668.2602386,1500,0.1702350378036499
1697670231.8690658,2000,1.3681446313858032
1697670400.7748868,2048,0.929646372795105
1697671762.683369,2500,0.2552381753921509
1697673293.129069,3000,0.08990440517663956
1697674861.4952986,3500,0.2697966396808624
1697676496.5385337,4000,0.11562751978635788
1697676799.118338,4096,0.12865208089351654
1697678038.9971983,4500,0.2158614993095398
1697679665.3146324,5000,0.2797883152961731
1697681289.5113878,5500,1.457352876663208
1697682871.5258312,6000,0.06619524210691452
1697683309.4593227,6144,0.18963833153247833
1697684529.222785,6500,0.0986555740237236
1697686205.1350138,7000,0.11570939421653748
1697687831.0890272,7500,2.604029417037964
1697689444.132989,8000,0.30229052901268005
1697690091.0930762,8192,1.7527389526367188
1697691103.69773,8500,0.09158980846405029
1697692798.5592577,9000,0.2630874216556549
1697694492.4019504,9500,0.059389516711235046
1697696211.0928848,10000,5.809709548950195
1697697025.6612916,10240,0.1526607722043991
1697698003.866991,10500,0.12314175069332123
1697699696.0753782,11000,0.06767797470092773
1697701383.2292006,11500,0.09520642459392548
1697703124.1937215,12000,0.11721718311309814
1697704097.4903185,12288,0.04553385451436043
1697704815.8459084,12500,1.1743590831756592
1697706494.8803613,13000,1.4138926267623901
1697708174.9287283,13500,0.060755226761102676
1697709848.3630068,14000,0.16857685148715973
1697711022.0617628,14336,0.09686440229415894
1697711565.7561297,14500,0.09008040279150009
1697713184.2379792,15000,0.23434004187583923
1697714833.4249806,15500,2.6892921924591064
1697716507.7790847,16000,0.12425297498703003
1697717840.2222133,16384,0.05545514076948166
1697718212.632933,16500,0.18794040381908417
1697719935.3569748,17000,0.05265609920024872
1697721733.4005144,17500,0.09277570247650146
1697723485.6675317,18000,0.2561061382293701
1697724948.731341,18432,0.10067393630743027
1697725183.298974,18500,0.09480209648609161
1697726927.4476871,19000,2.0820393562316895
1697728685.4437718,19500,0.15737347304821014
1697730396.1542358,20000,0.11075526475906372
1697732082.3579216,20480,0.1313982754945755
1697732151.3038588,20500,1.3861383199691772
1697733953.0686822,21000,0.20574547350406647
1697735683.9692717,21500,1.3967539072036743
1697737406.143521,22000,0.23382575809955597
1697739170.283875,22500,0.09154622256755829
1697739257.1520386,22528,0.09154622256755829
1697741079.4441316,23000,0.17635422945022583
1697742820.629634,23500,0.20458881556987762
1697744297.365188,24000,0.16850025951862335
1697745802.901819,24500,0.6956173181533813
1697746045.9664242,24576,0.0983489379286766
