Episode,Reward,alpha,K_295,Ms_295,Rp,TMR,t_pulse,t_relax,d,tf,kl_div_score,energy
1,-1,0.0674499398469925,0.0002,300000.0,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,395240.4771000147,38911.9126200676,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.0386987379193306,0.0002,1918838.2804393768,25097.928941249847,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,3608.259476721287,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0006543147563934326,2000000.0,1124.2483197711408,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.0002,948916.5633916855,23630.845367908478,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,686074.5340585709,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0007667237758636475,552858.5463762283,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.001,300000.0,46341.49345755577,3,2.0245389729738235e-08,2.0245389729738235e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.06856341063976289,0.0002,2000000.0,2788.8013552874327,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0005061089992523194,300000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,1402556.8425655365,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,50000.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.001,300000.0,18450.802117586136,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.047719462811946875,0.0002,1944327.9206752777,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.00039214092493057253,300000.0,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.001,300000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.0887230759859085,0.0002,943506.7176818848,50000.0,3,7.175389868021011e-08,7.175389868021011e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.04791036099195481,0.0008045830249786377,300000.0,10234.911054372787,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.06352430164813996,0.001,1642964.5717144012,500.0,3,1.0491526097059249e-08,1.0491526097059249e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,50000.0,3,3.248866787552833e-08,3.248866787552833e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.00023799422085285187,2000000.0,11370.310984551907,3,2.02922286093235e-08,2.02922286093235e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002604966402053833,300000.0,500.0,3,6.323153167963028e-08,6.323153167963028e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.001,1735025.018453598,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,1733460.4144096375,22578.910887241364,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.031997851580381396,0.001,2000000.0,500.0,3,8.598323162645102e-09,8.598323162645102e-09,3e-09,1.1e-09,1000000,1000000
1,-1,0.04269434154033661,0.0008364331722259522,1222311.2344741821,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.0005572680473327637,930879.7419071198,500.0,3,2.2638821840286255e-08,2.2638821840286255e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,2000000.0,50000.0,3,1.2152470156550407e-08,1.2152470156550407e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,324693.48162412643,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,1182253.4799575806,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.039779230952262885,0.0002,2000000.0,50000.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0008442456722259522,300000.0,15591.50655567646,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.0005469667911529541,2000000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.00042308440208435063,2000000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.02610148444771767,0.0009317575931549072,896263.9033794403,16655.983313918114,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0002,300000.0,500.0,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
1,-1,0.1,0.00032922993898391726,300000.0,500.0,3,7.5e-08,7.5e-08,3e-09,1.1e-09,1000000,1000000
1,-1,0.01,0.0009278777599334717,300000.0,26820.95640897751,3,5e-10,5e-10,3e-09,1.1e-09,1000000,1000000
