Wall time,Step,Value
1697665738.0460484,500,0.05380411073565483
1697667179.7089334,1000,0.08035653084516525
1697668668.2601492,1500,0.08571217209100723
1697670231.8689945,2000,0.685422420501709
1697670400.7748575,2048,0.46574294567108154
1697671762.6832674,2500,0.22853592038154602
1697673293.1289985,3000,0.04520254582166672
1697674861.4951963,3500,0.1486072838306427
1697676496.538462,4000,0.23868608474731445
1697676799.1182914,4096,0.28991684317588806
1697678038.9971683,4500,0.10857407003641129
1697679665.3145895,5000,0.19092914462089539
1697681289.5112848,5500,0.7300277948379517
1697682871.5258007,6000,0.05952295660972595
1697683309.4592838,6144,0.09597781300544739
1697684529.2227256,6500,0.05680285394191742
1697686205.1349177,7000,0.24505558609962463
1697687831.088902,7500,1.3031585216522217
1697689444.1329064,8000,0.15124337375164032
1697690091.0930164,8192,0.8776419758796692
1697691103.6976593,8500,0.05326998978853226
1697692798.559188,9000,0.16192643344402313
1697694492.401882,9500,0.22497819364070892
1697696211.0927913,10000,2.908770799636841
1697697025.661253,10240,0.14208774268627167
1697698003.866887,10500,0.2865758240222931
1697699696.075272,11000,0.043303996324539185
1697701383.22913,11500,0.05507829785346985
1697703124.193616,12000,0.11876031011343002
1697704097.4902904,12288,0.15311962366104126
1697704815.8458042,12500,0.5873898863792419
1697706494.8802795,13000,0.7083030939102173
1697708174.9286244,13500,0.2553976774215698
1697709848.362977,14000,0.14148123562335968
1697711022.0617316,14336,0.1298913061618805
1697711565.7560246,14500,0.05251530185341835
1697713184.237873,15000,0.29402995109558105
1697714833.4248936,15500,1.3961644172668457
1697716507.7789805,16000,0.26015692949295044
1697717840.222184,16384,0.0634947195649147
1697718212.632853,16500,0.09418300539255142
1697719935.3568914,17000,0.251362144947052
1697721733.4004297,17500,0.09248322993516922
1697723485.6674705,18000,0.2715010941028595
1697724948.7313106,18432,0.11703798919916153
1697725183.2989097,18500,0.05535436049103737
1697726927.4475806,19000,1.0410228967666626
1697728685.4436853,19500,0.13795998692512512
1697730396.1541314,20000,0.06092817336320877
1697732082.3578813,20480,0.24688266217708588
1697732151.3037534,20500,0.6944227814674377
1697733953.0685992,21000,0.2722472548484802
1697735683.9692037,21500,0.6997290253639221
1697737406.1434207,22000,0.13881434500217438
1697739170.2838068,22500,0.05324820056557655
1697739257.1519752,22528,0.05324820056557655
1697741079.4441054,23000,0.3132001459598541
1697742820.6296043,23500,0.11284079402685165
1697744297.3650835,24000,0.1325899362564087
1697745802.9017894,24500,0.35155877470970154
1697746045.9663813,24576,0.09793148934841156
