Episode,Reward,alpha,Ki,Ms,Rp,TMR,eta,J_she,t_pulse,t_relax,d,tf,kl_div_score,energy
1,0,0.01,0.0002,1076057.943701744,500.0,3,1.2000972747802734,5000000000000.0,6.631665876507759e-08,6.631665876507759e-08,3e-09,1.1e-09,0.58531621986299,9.945169455807812e-11
1,0,0.01,0.0002,628860.193490982,500.0,3,1.4633576452732087,1346753731966.0186,1.7216115832328796e-08,1.7216115832328796e-08,3e-09,1.1e-09,0.5921847230356182,1.871832744750404e-12
1,1,0.01,0.0002,2000000.0,500.0,3,2.0,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5542585563415847,7.182898674906025e-15
1,1,0.01,0.0002,1583450.5438804626,500.0,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5206441283545225,4.966023351098383e-15
1,0,0.01,0.0006553576469421387,1576343.9118862152,500.0,3,0.1,2516587465405.4644,7.5e-08,7.5e-08,3e-09,1.1e-09,1.1223412096635377,2.8503096297354675e-11
1,1,0.01,0.0003497702598571778,1956016.8027877808,500.0,3,0.5160106688737869,5000000000000.0,5.340931916236877e-08,5.340931916236877e-08,3e-09,1.1e-09,0.314645749233693,8.010486554077545e-11
1,0,0.01,0.0002,2000000.0,50000.0,3,0.1,10000000000.0,5e-10,5e-10,3e-09,1.1e-09,4.107369265808225,4.8326441431605456e-15
1,0,0.01,0.001,2000000.0,17156.358525156975,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5693586101574595,1.9493774426200353e-13
1,0,0.01,0.0002,1741839.1168117523,500.0,3,0.1,2243848230838.7754,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5997215520506877,2.266232618751418e-11
1,0,0.01,0.001,2000000.0,50000.0,3,0.4499895483255386,10000000000.0,5.61953133046627e-08,5.61953133046627e-08,3e-09,1.1e-09,0.47666392825139725,3.8646332780008e-13
1,0,0.01,0.0007091949939727783,1616037.6965999603,50000.0,3,0.7021440595388412,1514134296476.841,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5162313562761754,1.0669933199784418e-11
1,0,0.01,0.0002,2000000.0,500.0,3,1.3940974950790406,999895421713.5906,7.5e-08,7.5e-08,3e-09,1.1e-09,0.458910311853065,4.5053372175769126e-12
1,0,0.01,0.0007257398605346679,2000000.0,500.0,3,1.4169533729553223,10000000000.0,4.1974353611469266e-08,4.1974353611469266e-08,3e-09,1.1e-09,0.317315804992231,3.7769288320578e-15
1,0,0.01,0.0005934369087219239,2000000.0,29208.44429731369,3,2.0,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.4001902947575964,3.722783395465224e-13
1,0,0.01,0.0002,1584353.2741069794,500.0,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.5520752589410683,4.7351588690283675e-15
1,0,0.01,0.0002,1619430.559873581,50000.0,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.3916946558744015,4.621322527018608e-13
1,0,0.01,0.0002,774875.1103878021,500.0,3,0.5355305194854736,10000000000.0,7.473966854810714e-08,7.473966854810714e-08,3e-09,1.1e-09,0.9630593431149539,1.1035723207166546e-15
1,0,0.01,0.0002,938905.6205749512,500.0,3,0.30354252383112906,10000000000.0,2.8065184637904168e-08,2.8065184637904168e-08,3e-09,1.1e-09,0.5660157763322828,5.785491565645905e-16
1,0,0.01,0.0009629396915435791,2000000.0,30205.44472336769,3,1.9201353430747985,10000000000.0,2.5261488258838654e-08,2.5261488258838654e-08,3e-09,1.1e-09,0.5475422151408675,9.594469698105968e-14
1,0,0.01,0.0002,2000000.0,42702.7370929718,3,1.1968237042427063,2066335065960.884,7.5e-08,7.5e-08,3e-09,1.1e-09,0.6460223527447276,1.9896792670306278e-11
1,0,0.01,0.0002,2000000.0,5267.938632518053,3,0.1,5000000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.557414385131622,1.1257018561368348e-10
1,0,0.01,0.0005720406532287598,300000.0,500.0,3,0.1,1186327312290.6685,4.4987863570451734e-08,4.4987863570451734e-08,3e-09,1.1e-09,0.6028286904674556,3.7961178545650036e-12
1,0,0.01,0.0002,300000.0,9772.29692041874,3,1.8078327119350432,10000000000.0,7.423887264728546e-08,7.423887264728546e-08,3e-09,1.1e-09,4.356065978102769,4.581124991018866e-13
1,0,0.01,0.0002,1603834.3727588654,500.0,3,0.9064399570226669,10000000000.0,6.859724327921866e-08,6.859724327921866e-08,3e-09,1.1e-09,0.7809466030200446,5.007870946427042e-15
1,0,0.01,0.0002130643367767334,1868126.3029575348,500.0,3,0.9682553559541701,2218765453398.2275,7.5e-08,7.5e-08,3e-09,1.1e-09,0.475843009300742,2.2160638627963246e-11
1,0,0.01,0.0002,2000000.0,500.0,3,1.3796189725399017,5000000000000.0,2.7933351486921312e-08,2.7933351486921312e-08,3e-09,1.1e-09,0.5376381864803556,4.185275663294574e-11
1,0,0.01,0.0002,906742.4237728119,500.0,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.6629251983527447,1.604857558102337e-15
1,0,0.020407110452651978,0.0002,793018.6808109283,500.0,3,0.1,10000000000.0,7.5e-08,7.5e-08,3e-09,1.1e-09,0.3377508131203497,3.4645560408084747e-15
1,0,0.01,0.0002,1579754.912853241,500.0,3,2.0,10000000000.0,2.3293897852301598e-08,2.3293897852301598e-08,3e-09,1.1e-09,0.5495911527115853,1.4941437558117499e-15
