0.4308447774	0
	
0.4504286309	2.00E-04
	
0.4700124844	4.00E-04
	
0.4895963379	4.00E-04
	
0.5091801914	0.003
	
0.5287640449	0.007
	
0.5483478985	0.0115
	
0.567931752	0.0275
	
0.5875156055	0.0626
	
0.607099459	0.1114
	
0.6266833125	0.1852
	
0.646267166	0.2859
	
0.6658510196	0.4051
	
0.6854348731	0.5286
	
0.7050187266	0.6462
	
0.7246025801	0.742
	
0.7441864336	0.8151
	
0.7637702871	0.8806
	
0.7833541407	0.9192
	
0.8029379942	0.9436
	
0.8225218477	0.9676
	
0.8421057012	0.9761
	
0.8616895547	0.9821
	
0.8812734082	0.9866
	
0.9008572618	0.9904
	
0.9204411153	0.9934
	
0.9400249688	0.9958
	
0.9596088223	0.9962
	
0.9791926758	0.9975
