0.45045025	0
	
0.4700350434	4.00E-04
	
0.4896198369	0.0015
	
0.5092046304	0.0027
	
0.5287894239	0.0089
	
0.5483742173	0.0166
	
0.5679590108	0.0341
	
0.5875438043	0.0746
	
0.6071285978	0.1328
	
0.6267133912	0.2155
	
0.6462981847	0.3257
	
0.6658829782	0.4317
	
0.6854677717	0.556
	
0.7050525651	0.6719
	
0.7246373586	0.7618
	
0.7442221521	0.8334
	
0.7638069456	0.8926
	
0.7833917391	0.9233
	
0.8029765325	0.9514
	
0.822561326	0.9666
	
0.8421461195	0.9778
	
0.861730913	0.9843
	
0.8813157064	0.9899
	
0.9009004999	0.9925
	
0.9204852934	0.9938
	
0.9400700869	0.9954
	
0.9596548803	0.9971
	
0.9792396738	0.9982
