step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.0002, 1041265.4562301331, 9369.04694112532, 1.1896766258675677, 4274193998409.2524, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1147184.1547501984, 46566.962013379394, 0.27421454388561417, 713792283905.5526, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1295293.963986824, 38674.38434775289, 0.4550849392725235, 1920411207506.6707, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1248994.0921131377, 23855.97672538555, 0.6137174283669307, 1524376355244.0073, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1367527.5109379978, 38365.744176879736, 0.469048151409067, 2252742671801.605, 5e-10]"
0,"[0.07031251066738048, 2.219932131296981e-11]","[0.01, 0.001, 1395754.367736539, 3825.634061824956, 1.7733308625380575, 2220949088484.9204, 7.5e-08]"
0,"[1000000, 1000000]","[0.036001972082368175, 0.001, 1556117.754457382, 18182.98966281474, 2.0, 4918722033913.634, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1864016.7034922498, 46226.44443015477, 0.8859354411969985, 3822309744385.211, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1147184.418456399, 46565.48459519331, 0.1, 713792283906.9701, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1041266.6147122743, 9370.331016666078, 1.6474430149989483, 4274193998409.4727, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1864016.3257196965, 46225.685870308414, 0.4394035136881854, 3822309744385.2915, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1041266.4477736036, 9370.417369882567, 1.253779795263035, 4274193998410.4473, 5e-10]"
0,"[1000000, 1000000]","[0.05365815123444301, 0.001, 1147184.7457659997, 46566.471228090435, 0.1, 713792283906.9124, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 997502.1108380699, 11403.905241838396, 0.6029647589379473, 1510983643420.6606, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 997502.0686438875, 11403.416881008261, 1.227145640622193, 1510983643421.6729, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1041265.7836074702, 9370.51281964659, 1.4288065816553481, 4274193998409.05, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1367528.2225062111, 38366.24710726998, 0.39468800999427006, 2252742671800.829, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1255317.7222801198, 21933.36253870324, 0.1, 774808249779.6432, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1395754.2238816607, 3826.2976753574662, 0.46759587076471554, 2220949088486.096, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1176658.471394264, 39906.3715842186, 2.0, 2429875558264.231, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1821598.3732547306, 37902.6191004607, 0.8713672949636663, 1330096637585.1377, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1964984.5784932163, 32010.593850813915, 1.2634381933736658, 4414119434563.58, 7.5e-08]"
0,"[1000000, 1000000]","[0.09448280325526617, 0.0002, 326675.68271767587, 8254.318476239572, 1.4211454879097922, 791456671353.3855, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 627771.2355796975, 33004.95933390061, 1.4721036104778042, 3586608401923.252, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 736288.5367185905, 42645.665684584295, 0.5975951516986795, 4639228952182.912, 7.5e-08]"
0,"[0.0856534818931281, 2.554838303362589e-11]","[0.01, 0.0002, 966269.5012419043, 23902.07261475786, 1.6166454981039164, 2381547352011.581, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1395754.683135934, 3827.3051148625586, 0.8115183141209642, 2220949088485.6514, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 319091.609696337, 30016.567316113513, 0.1, 2780811381764.859, 7.5e-08]"
0,"[0.08292950440206848, 8.42058021401082e-12]","[0.01, 0.0002, 1656835.7770593474, 45205.137666291695, 1.7584276157188306, 1352814351532.131, 7.5e-08]"
0,"[0.09882431266546632, 6.136628800327681e-13]","[0.01, 0.0002, 1569887.510921893, 48603.77238839707, 2.0, 318520695074.22723, 7.5e-08]"
0,"[1000000, 1000000]","[0.07341665548694465, 0.0002, 1465681.7474376292, 11803.310246464853, 1.9401257596791908, 58833503379.68301, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1816858.9366269954, 38403.0004014211, 2.0, 2151995134126.7961, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 835008.273081326, 46188.390124952675, 0.8597032309244361, 4313119972720.3955, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1915356.8966015559, 7509.522641006914, 1.6072941751732304, 124067985807.67871, 5e-10]"
0,"[0.09078693497891563, 4.7104908874676245e-14]","[0.01, 0.0002, 1465681.004995607, 11803.76958866809, 1.56933363708111, 58833503379.630646, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1419262.040012712, 23827.07986896701, 0.1, 2336051301698.176, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 326675.03606276546, 8254.20638544521, 0.6114750282329271, 791456671353.2144, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1041265.9105975138, 9370.495892113453, 1.0835734686888792, 4274193998409.1294, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1816858.677665503, 38402.06445717542, 1.7343271652180594, 2151995134127.4949, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 835008.3968468349, 46188.25394450804, 0.41536862641525774, 4313119972719.988, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1367527.8532162234, 38367.30963068231, 0.6318109483740384, 2252742671801.5625, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 736288.2630753086, 42646.063851493476, 0.46109301543205167, 4639228952183.093, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 739412.8749665922, 48054.44695945072, 0.1, 3395899224428.1104, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 477915.4420207475, 21121.82460411138, 0.6120326447948173, 4822609614576.954, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1595821.6098067171, 1082.5740197022185, 0.9314545785927121, 1579367502213.9697, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 997501.470415393, 11402.878807295998, 1.2249617874966319, 1510983643423.3035, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 997502.5585003347, 11404.493394297038, 0.1, 1510983643422.2493, 7.5e-08]"
0,"[0.14421038036476005, 5.234048450322758e-13]","[0.01, 0.001, 1569887.9386727142, 48602.40141803161, 1.3964315808809702, 318520695073.3895, 7.5e-08]"
0,"[0.07404735601966923, 2.103552026724506e-11]","[0.01, 0.0002, 1816859.292102905, 38401.94417116279, 2.0, 2151995134127.2104, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1964985.2840678266, 32010.715262121248, 0.9101029315761082, 4414119434563.278, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1147184.2553069845, 46565.801710918706, 0.1525236257754461, 713792283907.3234, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 736289.0559528949, 42645.68688082149, 0.9496790063384246, 4639228952181.675, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1176658.6388860506, 39906.684273582774, 2.0, 2429875558264.0835, 7.5e-08]"
1,"[0.13659929447054872, 8.37428718536426e-11]","[0.01, 0.0002, 835007.3301116375, 46189.329688869664, 1.379316486936244, 4313119972720.7007, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 997501.5871264625, 11404.213734050041, 1.1043328920353015, 1510983643421.2205, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 997501.870596953, 11403.685733362661, 1.0139133832905216, 1510983643421.2913, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 1295293.627503517, 38674.659320617655, 0.1, 1920411207507.5703, 5e-10]"
1,"[0.07739524011066512, 6.589919671305678e-11]","[0.01, 0.001, 1864016.4106446358, 46225.88844421665, 1.422392756559733, 3822309744385.5137, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1395754.7907781713, 3826.76310755358, 0.1, 2220949088484.6387, 5e-10]"
1,"[0.09750947273714086, 2.307458628109018e-12]","[0.01, 0.001, 1147185.6947244697, 46566.020984015966, 0.5739199734394487, 713792283907.5416, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1556117.5735726259, 18182.91663810584, 1.495207429589509, 4918722033913.327, 5e-10]"
1,"[0.0768275686346827, 1.0286105760551333e-11]","[0.01, 0.0002, 997503.1647178106, 11404.579620010109, 1.5889263061472394, 1510983643420.7778, 7.5e-08]"
1,"[1000000, 1000000]","[0.04532696746137606, 0.001, 1465681.153314321, 11802.364157302221, 1.9137467387295817, 58833503380.08393, 7.5e-08]"
1,"[0.08656380352324092, 5.246866981932193e-13]","[0.01, 0.001, 1569887.3255022345, 48602.73300614779, 1.0791564958011808, 318520695074.17004, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1656835.3596099513, 45205.33289257864, 1.6304038761258877, 1352814351531.4746, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1821597.9043250924, 37902.22027443939, 1.38933479377917, 1330096637585.6248, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1295295.722371057, 38674.21419164401, 0.8409549297872831, 1920411207507.1777, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1395754.3672185342, 3826.5066333818945, 0.13626646362709416, 2220949088486.387, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1147183.945683416, 46566.8783580943, 0.4350359391747943, 713792283906.905, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1821598.1913224645, 37902.1904738503, 1.1773356609815702, 1330096637584.946, 5e-10]"
1,"[0.09317358610738302, 1.0458948106716048e-11]","[0.01, 0.001, 1248993.8570529816, 23856.70149824985, 0.9671106468787485, 1524376355243.7393, 7.5e-08]"
1,"[0.0780264908037799, 2.6952855911033247e-11]","[0.01, 0.001, 1176658.3112930004, 39905.91535768742, 1.4746068570369195, 2429875558263.4604, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 627770.9274912663, 33004.773771152744, 1.5235814089778104, 3586608401924.095, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 1041265.6626908835, 9369.799812340008, 1.0337573334071264, 4274193998410.1113, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1656835.9317729287, 45204.9981448814, 1.5910388192585256, 1352814351532.5498, 5e-10]"
1,"[0.17001569895116342, 2.285730470738892e-11]","[0.01, 0.001, 1367528.2188101832, 38365.92288727091, 0.1941540697743748, 2252742671801.443, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 1248993.6795172787, 23855.956260269275, 0.6897101565781615, 1524376355244.9255, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 1821597.9992731935, 37902.946240543315, 0.640435461732034, 1330096637584.5154, 7.5e-08]"
1,"[0.08080310595994888, 8.057881841199572e-12]","[0.01, 0.001, 1821598.0890911939, 37902.68139640841, 0.35174604690984124, 1330096637586.11, 7.5e-08]"
1,"[1000000, 1000000]","[0.04026747471218499, 0.001, 1569888.4602111652, 48601.71221568943, 0.9255737213319151, 318520695073.42395, 7.5e-08]"
1,"[0.07951332719961554, 2.7007253883271077e-11]","[0.01, 0.001, 1176658.866555946, 39906.901100446514, 2.0, 2429875558263.544, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1367527.5394720747, 38366.49139680413, 0.14948062785846827, 2252742671801.425, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1147184.1691241078, 46566.729886622124, 1.0432401345569713, 713792283906.3739, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 736288.321011275, 42645.418244916946, 0.28434004145268565, 4639228952182.842, 5e-10]"
1,"[0.09803606507324543, 5.263732529248123e-13]","[0.01, 0.001, 1569887.784872624, 48602.093657786434, 1.7710721419969482, 318520695073.3844, 7.5e-08]"
1,"[0.10029989789787865, 9.686492171701033e-11]","[0.01, 0.0002, 736287.1006419588, 42646.425620600225, 0.1, 4639228952182.508, 7.5e-08]"
1,"[1000000, 1000000]","[0.04759206444860779, 0.001, 1816858.8012950409, 38402.69398019706, 2.0, 2151995134127.4336, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1569888.2465074398, 48602.272454770915, 2.0, 318520695073.29865, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1367528.2991927227, 38365.32391053555, 0.9756404242201258, 2252742671801.9526, 5e-10]"
1,"[1000000, 1000000]","[0.069372233066404, 0.0002, 997501.5320382676, 11403.327290153948, 1.3791286336099626, 1510983643421.0723, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1248993.751242643, 23855.71510012136, 0.8492472049321045, 1524376355243.588, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 835007.6649016892, 46188.17536461323, 0.2570164601344588, 4313119972721.4673, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1465681.0049808766, 11804.478921127042, 2.0, 58833503379.92976, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 997503.183651438, 11403.369123019414, 0.5485482424852703, 1510983643420.8926, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 997501.0324433834, 11404.245907969773, 0.6918832666103283, 1510983643420.8044, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1656835.6028570218, 45204.328760301454, 2.0, 1352814351532.06, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1569888.0552803022, 48601.77440568935, 1.2277965371490276, 318520695073.17316, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1465680.8330688216, 11802.806241141347, 1.7123727089713212, 58833503379.640236, 5e-10]"
1,"[0.11663100654244773, 5.245367681709374e-13]","[0.01, 0.001, 1569887.845649256, 48603.25543150429, 0.6435121045292513, 318520695073.47504, 7.5e-08]"
