step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.0002, 1838504.7363433347, 27324.629720504836, 0.2674835125096853, 1949013601617.2407, 7.5e-08]"
0,"[0.06619722685084882, 7.820377851634058e-12]","[0.01, 0.001, 1388947.4766710845, 12524.483131220155, 1.9403705224529073, 1317574599458.3005, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 786900.1744731744, 27204.936202294914, 0.1, 2967219818558.8125, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 902314.6747556574, 13239.939197138976, 0.9587314509276081, 4955376635074.531, 5e-10]"
0,"[1000000, 1000000]","[0.09284084651254863, 0.0002, 1658771.846640297, 29871.4608711719, 2.0, 448655294041.60004, 7.5e-08]"
0,"[0.07585056868964019, 5.2542564558423486e-11]","[0.01, 0.001, 1901760.1142377919, 27593.389253785514, 0.386958987312803, 3414165346220.2686, 7.5e-08]"
0,"[1000000, 1000000]","[0.016954572045441367, 0.0002, 1710494.615381216, 44308.733502815056, 1.0878270695731427, 4114778859732.2314, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 681481.6790307688, 32973.70008904371, 1.8711308781673341, 4306693798996.2637, 5e-10]"
0,"[1000000, 1000000]","[0.08189195594657248, 0.001, 324895.170316148, 17788.161051261228, 0.19793034397029696, 929540374148.3148, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 743112.9047729077, 10173.867702105403, 1.4689769889825361, 1837769169538.1233, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1447223.6911195202, 11659.556149053347, 1.7152369003056538, 1618818354873.9177, 5e-10]"
0,"[0.09882667769137478, 3.6564728372705245e-12]","[0.01, 0.0002, 791641.4009378143, 47610.02390234802, 2.0, 898477711616.1709, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1220488.6294033958, 21327.61955531077, 1.244509233058805, 4648009409244.583, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1596209.1356631364, 36439.21724160073, 0.10535476826396972, 611788100127.0004, 5e-10]"
0,"[1000000, 1000000]","[0.011200058119764187, 0.0002, 1734188.2093664703, 27754.61958072445, 1.024586145565184, 3773990409124.567, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1603913.7894722065, 5403.45189867029, 2.0, 2089396993343.5364, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1710495.0345102537, 44309.51859030581, 1.3644199501646952, 4114778859732.3687, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1388947.4367841478, 12523.835214513509, 1.6383823984370698, 1317574599457.8994, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1594752.9778388275, 40102.82720351528, 0.6741489266043081, 1888119361521.3918, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 502640.6795212629, 35967.039034057576, 0.1, 1431706943333.3752, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 743112.6736803144, 10175.411223456156, 1.7353175060499209, 1837769169538.7932, 5e-10]"
0,"[0.10152666604832662, 9.228527103263828e-12]","[0.01, 0.0002, 502640.3899022111, 35966.25309398338, 0.8502833727356842, 1431706943333.7493, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1897272.6696818108, 4251.2562544794155, 1.4611316944387385, 111408598973.29488, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 582639.8716464122, 5025.97670626962, 1.0645162133500568, 1533990703188.9785, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1388947.724474429, 12524.586195225156, 1.6142401640776125, 1317574599458.3716, 5e-10]"
0,"[0.09365131370237846, 3.2538027740745825e-11]","[0.01, 0.001, 817793.4370974278, 42862.50040377141, 0.1, 2686565932152.8687, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 743113.1309268092, 10175.190099733947, 1.598204432105997, 1837769169539.4497, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 505594.0378018031, 44481.485845894, 1.2640293621873337, 732816378182.8413, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1640838.6203279223, 29883.455764811544, 0.1, 3497217178339.428, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 399112.85236397287, 12660.587359297771, 1.310737313625331, 45144595257.32961, 7.5e-08]"
0,"[0.08101096635370782, 2.3242004330349154e-12]","[0.01, 0.001, 1963482.4583181667, 13690.714013791923, 2.0, 711495817885.3729, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 324895.40283537575, 17787.55519404649, 0.978850211324374, 929540374148.8696, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1438653.2054756517, 42511.193877577694, 0.20580261168715164, 3895720149286.258, 5e-10]"
0,"[0.4228019828776124, 6.750955162189605e-14]","[0.01, 0.0002, 1947478.6149159279, 48861.22237282528, 0.11941924495005574, 1562726095002.0012, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1609237.2679073336, 29323.132488110106, 1.3796778173091258, 3776083937631.21, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1388947.7691811647, 12524.51354511132, 1.005354114503189, 1317574599458.8145, 5e-10]"
0,"[1000000, 1000000]","[0.0875239273800549, 0.001, 1185665.331624401, 36331.78858368391, 0.1, 922218813315.2946, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1252237.4300683616, 23689.674403783123, 1.5612905162990076, 4619248197798.874, 5e-10]"
0,"[1000000, 1000000]","[0.029879472820205262, 0.0002, 1603914.275984624, 5404.495778672156, 1.7772537168193132, 2089396993342.9478, 7.5e-08]"
0,"[1000000, 1000000]","[0.04197045006332514, 0.0002, 399112.97718511394, 12661.538990203344, 1.036254506793326, 45144595256.198265, 7.5e-08]"
0,"[0.09813761753751214, 6.420321202911527e-11]","[0.01, 0.0002, 1734188.860117242, 27753.4989399055, 0.1, 3773990409124.783, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1447223.3469547452, 11660.000803689605, 1.8607594411468291, 1618818354874.603, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 817793.5935295855, 42861.967733899415, 0.1, 2686565932152.9736, 7.5e-08]"
0,"[0.1071738695572908, 5.433274113415126e-11]","[0.1, 0.0002, 559998.367687708, 18647.131757707524, 0.13156734215478416, 3473578179092.9746, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 817793.6964569297, 42862.36343340469, 0.4113981761555904, 2686565932152.2393, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 582640.6792337813, 5025.824237041667, 1.6262492240379391, 1533990703189.4224, 5e-10]"
0,"[1000000, 1000000]","[0.059669517672870265, 0.0002, 1252235.211983418, 23690.73074933994, 1.7407144230357374, 4619248197798.715, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0009982604261791774, 1963482.3678787542, 13691.157146000896, 1.2771761254836065, 711495817885.503, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 902314.5456524072, 13239.495798054124, 0.7516685913607863, 4955376635074.826, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 786898.736020521, 27205.257871784594, 0.1, 2967219818559.862, 7.5e-08]"
1,"[0.08088756454684107, 1.9665283642819608e-11]","[0.01, 0.0002, 1603913.79476873, 5403.192666962947, 2.0, 2089396993344.091, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1901759.935030676, 27592.82626338251, 1.7016480316636322, 3414165346220.8394, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1640839.3160417164, 29884.26830194195, 0.1, 3497217178339.744, 5e-10]"
1,"[0.09019846231085002, 9.606470327445938e-11]","[0.01, 0.0002, 1252236.6034318474, 23689.377128332933, 1.6814066781888057, 4619248197798.221, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 817793.8463080202, 42862.567298279166, 0.1, 2686565932152.2026, 7.5e-08]"
1,"[0.08733284595940849, 3.250149121294954e-11]","[0.01, 0.0002, 817793.2427528576, 42863.00929600939, 0.1, 2686565932153.1396, 7.5e-08]"
1,"[0.08374844432300144, 1.9654060032150283e-11]","[0.01, 0.001, 1603912.8085096448, 5405.016212789168, 1.6248214508220435, 2089396993343.671, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1734187.6082028784, 27754.78187783934, 1.3655997049948319, 3773990409124.3857, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 502640.6990405094, 35965.789083496544, 1.3157442870248885, 1431706943334.0007, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 791641.4566140259, 47610.14016955049, 2.0, 898477711616.558, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 743113.6683519564, 10176.121617827335, 1.6877574201470316, 1837769169539.34, 5e-10]"
1,"[0.31931110100628335, 3.3192531411960475e-13]","[0.01, 0.001, 1640837.9458895482, 29883.10246149979, 0.3688253909406064, 3497217178339.7544, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 1388947.3397915585, 12525.363376726375, 1.4767972997428254, 1317574599458.1375, 5e-10]"
1,"[0.08222917280463514, 5.514779096993383e-11]","[0.01, 0.0002, 1640838.1593324111, 29884.084615711003, 0.1, 3497217178338.958, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 324895.5216094682, 17788.0859592267, 0.46494435374198567, 929540374148.9177, 5e-10]"
1,"[0.08814732595965039, 5.560449053323681e-14]","[0.01, 0.0002, 502640.8946901032, 35967.34515522127, 0.1, 1431706943332.9944, 5e-10]"
1,"[0.09092326212281628, 6.422038189533852e-11]","[0.01, 0.0002, 1734187.953923037, 27754.452020374767, 1.1538769667695543, 3773990409124.61, 7.5e-08]"
1,"[1000000, 1000000]","[0.07732850536617376, 0.001, 817792.4749856555, 42863.00167075947, 0.514488254109967, 2686565932152.926, 5e-10]"
1,"[1000000, 1000000]","[0.04080918395235611, 0.001, 1897273.169943815, 4251.461730550672, 0.43088745763502667, 111408598973.19078, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1594753.21975026, 40102.19525181391, 1.3048390580081006, 1888119361520.4592, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 582639.357084409, 5026.608118068599, 1.0929593579775565, 1533990703189.3928, 5e-10]"
1,"[0.06360614984457663, 9.72323388425539e-11]","[0.07884698699034248, 0.001, 1220488.633183094, 21327.83990748557, 2.0, 4648009409244.49, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1963483.1960313122, 13690.460204855484, 2.0, 711495817884.5863, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1947478.522997928, 48860.75968171171, 0.1, 1562726095002.727, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 502639.7307684787, 35965.98600687015, 0.9175127783937301, 1431706943333.674, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 582639.5165436736, 5026.381081306064, 0.8023339417716466, 1533990703188.5967, 5e-10]"
1,"[0.1683950932793366, 5.514158113607143e-11]","[0.01, 0.0002, 1640837.7131891046, 29884.846940287396, 0.1, 3497217178339.9194, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 502640.49081595894, 35966.47658260939, 0.6814526879940555, 1431706943333.5364, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.0002, 1252236.6358864314, 23689.65361126729, 1.4645959947942015, 4619248197798.974, 5e-10]"
1,"[0.05072922831836529, 5.433617112932804e-11]","[0.1, 0.0002, 559998.0853845446, 18646.92777547028, 0.8095543045481545, 3473578179094.058, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1388947.7911032406, 12523.367069808206, 1.6592987111879844, 1317574599457.7039, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 817793.2390763175, 42861.31003369755, 0.9690693760348036, 2686565932152.303, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 817792.5381409837, 42861.98109084088, 0.6988413085022751, 2686565932152.2817, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1947478.1726883997, 48861.10293711641, 0.9545376468348687, 1562726095000.9504, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.001, 1609237.2577495351, 29323.43433582764, 0.9428048712474002, 3776083937631.522, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1901760.6409684187, 27592.653198505297, 0.5566395991778605, 3414165346219.8394, 5e-10]"
1,"[1000000, 1000000]","[0.09919335024613833, 0.001, 817793.0631079968, 42861.78813706196, 0.4987448169292198, 2686565932152.52, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 1388948.541376179, 12524.189195029023, 1.6033523286198483, 1317574599458.3926, 7.5e-08]"
1,"[0.11828925389541962, 7.6381846187204e-11]","[0.01, 0.0002, 1710494.2728021448, 44308.9538304331, 0.4813473496946066, 4114778859731.827, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 1897272.4341524448, 4251.399144590391, 0.24356234617748257, 111408598973.06871, 5e-10]"
1,"[0.09451906651197012, 7.63817242226128e-11]","[0.01, 0.0002, 1710494.4436649103, 44308.79616387761, 1.3991028714225928, 4114778859732.13, 7.5e-08]"
1,"[1000000, 1000000]","[0.01, 0.001, 324895.12391541357, 17788.971190002903, 0.3210881926132658, 929540374148.2577, 5e-10]"
1,"[0.1007804599963014, 1.9654391468157395e-11]","[0.01, 0.001, 1603913.809344649, 5402.568822766305, 2.0, 2089396993343.8972, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1947478.0941700137, 48861.017412897636, 0.1, 1562726095002.4026, 7.5e-08]"
1,"[0.07066692014961305, 3.253766218021259e-11]","[0.01, 0.001, 817792.9288893344, 42861.68100057784, 0.1, 2686565932152.412, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 1603913.36981232, 5404.14352685401, 2.0, 2089396993343.755, 5e-10]"
1,"[1000000, 1000000]","[0.1, 0.0002, 1901760.607976623, 27593.07786376419, 0.6579055101247768, 3414165346219.847, 7.5e-08]"
1,"[0.06251312901605023, 1.5202304958633618e-11]","[0.01, 0.0002, 743112.1926514747, 10175.68981352089, 2.0, 1837769169538.403, 7.5e-08]"
1,"[0.07391091258098717, 6.421680541109087e-11]","[0.01, 0.0002, 1734187.8724445258, 27754.930978856053, 0.7036908009156595, 3773990409125.0444, 7.5e-08]"
1,"[0.10746797797563772, 1.7222301198615426e-11]","[0.01, 0.0002, 1838504.4826517468, 27323.792461357232, 0.3662784110949932, 1949013601617.0786, 7.5e-08]"
2,"[1000000, 1000000]","[0.01, 0.001, 502641.82029179006, 35967.55577159053, 0.1, 1431706943332.7717, 5e-10]"
2,"[1000000, 1000000]","[0.01, 0.0002, 743111.9261575288, 10176.074435551003, 2.0, 1837769169538.6316, 5e-10]"
2,"[0.09628946830420482, 1.1159890879594222e-11]","[0.01, 0.001, 1947478.7917110424, 48861.05043852224, 0.22597096557493163, 1562726095002.6035, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.0002, 1603913.9523610254, 5403.319618242285, 2.0, 2089396993344.0776, 5e-10]"
2,"[1000000, 1000000]","[0.1, 0.001, 502640.6664099148, 35966.90908423592, 0.1541389867572065, 1431706943334.438, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.0002, 1710493.125778528, 44308.930358613885, 0.632343733942296, 4114778859731.926, 5e-10]"
2,"[1000000, 1000000]","[0.1, 0.001, 1734189.0882539682, 27753.13143027059, 0.1, 3773990409125.1123, 5e-10]"
2,"[0.12277220909095188, 6.422321532709163e-11]","[0.01, 0.0002, 1734186.699367593, 27754.49144816218, 0.9247362587841388, 3773990409124.5845, 7.5e-08]"
2,"[0.09225211700069946, 5.5152540418858255e-11]","[0.01, 0.0002, 1640838.3549881922, 29883.950488086943, 0.2818278801764414, 3497217178339.81, 7.5e-08]"
2,"[1000000, 1000000]","[0.01, 0.0002, 817793.9300936963, 42862.16106429037, 0.1, 2686565932153.0176, 5e-10]"
2,"[0.09179907643234173, 9.60668035954182e-11]","[0.01, 0.0002, 1252236.8333003942, 23689.45169429207, 2.0, 4619248197797.958, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.001, 1897272.7955366625, 4250.97184713457, 0.1, 111408598972.59848, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.001, 559998.0252330501, 18646.002158797874, 1.233530567569257, 3473578179094.153, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.0002, 1603914.5795573834, 5403.663718442519, 1.8472426221996232, 2089396993342.7395, 5e-10]"
2,"[0.10365183891906296, 7.639528285113828e-11]","[0.01, 0.0002, 1710494.9826630575, 44308.11436316418, 2.0, 4114778859731.3564, 7.5e-08]"
2,"[0.07044218259410047, 3.250394490991737e-11]","[0.01, 0.0002, 817793.5119907073, 42863.57301235486, 0.7260865552651221, 2686565932152.539, 7.5e-08]"
2,"[0.10711048271295671, 1.6203350128307647e-11]","[0.01, 0.0002, 1594753.7472354271, 40102.190438201425, 1.816696049505732, 1888119361519.894, 7.5e-08]"
2,"[1000000, 1000000]","[0.01, 0.001, 1640838.6466545912, 29882.718086580717, 0.33017453306232625, 3497217178339.836, 5e-10]"
2,"[1000000, 1000000]","[0.01, 0.0002, 1640837.2837856729, 29883.268465840898, 0.1, 3497217178339.407, 5e-10]"
2,"[0.07742867565560722, 9.2734446515471e-12]","[0.01, 0.0002, 502639.7615147554, 35966.06878396815, 0.5021706699413597, 1431706943333.3484, 7.5e-08]"
2,"[1000000, 1000000]","[0.01, 0.001, 791641.0411486727, 47610.94839547755, 1.3936836074208632, 898477711615.9923, 5e-10]"
2,"[0.076732524704052, 2.355772414077903e-12]","[0.01, 0.0002, 1963482.0469123765, 13690.377894836001, 2.0, 711495817885.5865, 7.5e-08]"
2,"[0.5531896991621116, 9.240441316369502e-12]","[0.01, 0.001, 502640.686048367, 35967.082130851326, 0.1, 1431706943332.63, 7.5e-08]"
2,"[1000000, 1000000]","[0.1, 0.0002, 1734189.010352044, 27753.008534268476, 0.5523307619697708, 3773990409124.812, 7.5e-08]"
2,"[1000000, 1000000]","[0.01, 0.001, 1710494.6910860303, 44308.35187238399, 0.7574279235776458, 4114778859732.092, 5e-10]"
2,"[0.12394777038837482, 1.1165982545567956e-11]","[0.01, 0.001, 1947478.2578105894, 48860.10513095249, 0.1, 1562726095003.216, 7.5e-08]"
2,"[0.09018830676338105, 5.5151092465122174e-11]","[0.01, 0.0002, 1640838.4785299038, 29883.65551635255, 0.2505194866252163, 3497217178339.09, 7.5e-08]"
