step,fitness,genome
0,"[0.05338647708828199, 1.7546657324254282e-11]","[0.01, 0.001, 1258830.1107827877, 6191.872215329077, 1.8159814132141943, 1974605586190.3894, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1090467.2603053707, 37807.28114562868, 0.606220608439802, 4742189523524.841, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1258829.6307842077, 6191.716146369254, 2.0, 1974605586190.464, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 377232.59769406565, 39581.77864363412, 0.8706328755583259, 640398420473.5386, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1155880.2936752092, 36106.149965021774, 1.1160733750218474, 1632855886994.4014, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 411812.7293652684, 17385.75619062448, 0.7871532874000571, 3081617239842.2764, 7.5e-08]"
0,"[1000000, 1000000]","[0.03596807366096381, 0.001, 1872083.9593106727, 26173.326694473897, 0.6579653923252654, 3312807343195.552, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1757397.968638485, 32552.166461730467, 0.1, 1371466426975.2974, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1368112.4946867644, 19145.336660357207, 1.5401966958090667, 3333584756652.4844, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 347865.57876965904, 9422.361074951286, 2.0, 134542581338.82228, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1173447.8081273611, 13834.9614387402, 0.6343985262334724, 926911897327.5062, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1872083.8366698103, 26172.636413867272, 0.5009267425859706, 3312807343195.842, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1927473.920659037, 4618.719669434827, 1.4672006377283495, 879238146139.8556, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1936968.0398704084, 42020.489121070605, 0.6703463634426655, 2021501070725.828, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 352002.6790472547, 16442.80889811514, 1.1597275419821238, 391561860629.5638, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1304307.4646943195, 27960.522581118003, 0.6508222499924867, 4039474420158.4434, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1304306.5883556092, 27960.64887847556, 1.2004024452223234, 4039474420157.359, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 931156.1787284056, 34572.59933299782, 0.1, 1182505425200.0835, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1173447.8324839384, 13834.919829225859, 1.765663387416469, 926911897327.1998, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1510113.6424442064, 27884.956227946717, 0.5464793148766853, 454994415302.36743, 5e-10]"
0,"[0.08820922244417695, 5.6420116829360156e-11]","[0.01, 0.0002, 519554.3815606957, 8976.618773189515, 0.7140966558871301, 3540711141781.3735, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1056019.4780339217, 25708.6626177326, 1.3767678703390387, 107461691073.68925, 7.5e-08]"
0,"[0.07916367086853428, 3.4086679782246996e-11]","[0.01, 0.0002, 1571967.8756172243, 35200.79821879557, 1.2930743406008887, 2747303073123.666, 7.5e-08]"
0,"[0.24988130491652716, 6.686705359987971e-13]","[0.01, 0.0002, 1950893.770900739, 7784.329740292666, 0.14052043944122986, 4975040158301.043, 5e-10]"
0,"[0.07365800971633157, 8.439429368832432e-14]","[0.01, 0.0002, 347865.8627096823, 9422.658012638061, 1.2111352654573633, 134542581339.85057, 7.5e-08]"
0,"[0.09668489979550461, 1.8612310187949426e-11]","[0.01, 0.0002, 1936967.6784085587, 42020.886329785266, 0.7254551883502678, 2021501070727.7957, 7.5e-08]"
