step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.001, 613281.1233856293, 41553.38261643823, 0.7065070175678336, 1656524160014.7048, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1189124.4217111452, 48172.03995221041, 0.5833088979958228, 3032758672897.8325, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1056474.9375257508, 30891.611477455102, 1.8790338237968514, 2986728753204.0693, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1924261.6903807663, 34999.711800045945, 1.896311609080752, 1300199072077.23, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1159104.9846842913, 41072.832168934765, 0.5001355427165708, 2476483584044.4634, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1431323.4254264818, 43076.38012780442, 0.9330371232521858, 1029967181066.865, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1940341.5896039063, 47296.27406975981, 2.0, 3193791033033.114, 7.5e-08]"
0,"[0.07870659216581563, 4.6178425893578237e-11]","[0.01, 0.0002, 1940341.121184458, 47296.24843647165, 2.0, 3193791033033.254, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 770499.8557810958, 22643.309759367996, 0.6984734921815529, 140282539508.37372, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 548433.0853313815, 7184.558521891094, 0.2073229913147968, 578462014263.3887, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1636726.4295700558, 47320.22113560895, 1.8194815703127025, 4835124178553.946, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1692604.4498055587, 9685.0341121847, 1.4115170368534085, 3036088363870.0137, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1404040.47374597, 6214.4375827693075, 2.0, 567144607126.9675, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 548433.417484464, 7183.946587910329, 0.4891535846423145, 578462014264.1371, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 858127.5178935387, 17398.779993997367, 0.1, 332536151047.41614, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 520007.754870051, 46892.511522679415, 1.0735426075213566, 2983289829458.954, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 770499.7358037891, 22642.711898182446, 0.9074033166548073, 140282539509.9866, 7.5e-08]"
0,"[0.09793679293028042, 4.1395853563573613e-11]","[0.01, 0.001, 1189123.426783551, 48172.321437809114, 0.1, 3032758672897.4976, 7.5e-08]"
0,"[1000000, 1000000]","[0.043186620559589564, 0.0002, 548433.0762264032, 7184.065086080941, 1.5866850840648195, 578462014264.4404, 5e-10]"
0,"[0.09539430864842052, 2.6885860954749264e-11]","[0.01, 0.001, 1855450.0766953276, 26767.173994451354, 0.1, 2440662424111.796, 7.5e-08]"
0,"[0.1159429939220238, 1.0538536600358805e-10]","[0.01, 0.0002, 1636723.9176907393, 47319.949871454824, 1.6684643041762488, 4835124178554.623, 7.5e-08]"
0,"[1000000, 1000000]","[0.05722953703856023, 0.0002, 1648166.4884342111, 41360.99894326665, 0.956411495464876, 4831684759630.689, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1194605.0221068198, 36138.390403155936, 1.3198818772712646, 1062024618568.4264, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 790650.732960191, 22406.416732966438, 1.3528301202361743, 3860530761868.448, 5e-10]"
0,"[1.4251568119983238, 3.253294694931046e-14]","[0.01, 0.001, 1194604.9881768918, 36137.64146395688, 0.8838420385634062, 1062024618568.8391, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 862691.6302274453, 15890.41768261962, 0.5112284863507384, 4449002836134.113, 7.5e-08]"
0,"[0.09206892694336129, 3.1999300321473854e-11]","[0.01, 0.0002, 1463382.22644377, 21729.903317439886, 0.4543148231469995, 2664236608849.7915, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1686509.4938081484, 47511.78516316224, 0.7286115936449264, 4727209493340.996, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 770499.9042645203, 22644.262477151133, 1.397965855423669, 140282539509.3217, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1940342.343290488, 47296.32027903106, 1.5360542895614926, 3193791033032.8174, 5e-10]"
