step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.001, 1107468.9582134418, 3747.954136539291, 1.0531161631730335, 1253817089481.8792, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 416102.29366615537, 41899.43451665505, 0.5145212766588179, 3799040383965.9785, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1107469.242028571, 3746.4741031998087, 2.0, 1253817089481.202, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1507337.963496104, 3395.731856873364, 1.1212350422045767, 4845826283616.639, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 478643.17463668593, 1953.355312927718, 0.5737024824097465, 4937566900433.374, 5e-10]"
0,"[1000000, 1000000]","[0.056538638096091984, 0.0002, 573410.7834660095, 43980.96686298054, 2.0, 4914252649555.261, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 925934.2094236881, 31170.847221734, 1.7357088575691555, 2988042518086.698, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 578482.1862161468, 37466.570453845045, 1.1058006900643467, 967144439818.4153, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1896268.6384769639, 29052.44560236457, 0.41389481304887904, 852731028092.253, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 925934.0477468654, 31170.931823219205, 1.9006642959964042, 2988042518086.285, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 478642.64837170136, 1952.385111673125, 0.4436889623759986, 4937566900433.285, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 396191.64721720776, 31500.664077530917, 1.2383217451532988, 4017303917064.7446, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 396193.03872878174, 31500.463805052186, 0.631836513022638, 4017303917065.426, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 550244.8642233608, 28711.471392446343, 2.0, 411968943646.7535, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1706534.8759346227, 9117.455219484473, 0.6963169097293852, 2781066676882.767, 5e-10]"
0,"[0.07313194798785012, 1.0585507995014564e-10]","[0.01, 0.001, 1527279.7041681563, 36121.304850165885, 1.951514346782027, 4848944773194.903, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 514610.17477041006, 46174.53744572627, 1.0591464024799384, 3189293132786.639, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 578483.2647204761, 37467.01382947369, 0.9735517015589045, 967144439817.907, 5e-10]"
0,"[0.07144049478179733, 7.376736479297596e-12]","[0.01, 0.0002, 989607.8037755061, 33669.791436216336, 1.8567020280284001, 1276960602173.4841, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1078820.8985707045, 1725.9443623314805, 1.0145849245585932, 1883469706994.6538, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 925934.181139271, 31170.59888839192, 1.6180262194602821, 2988042518087.119, 7.5e-08]"
0,"[1000000, 1000000]","[0.013045455535570391, 0.0002, 448901.6490194859, 5356.53885876496, 0.1, 1202484361480.9177, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1541167.189117868, 28992.790604338727, 0.6654564166590164, 2541350774664.9346, 7.5e-08]"
0,"[0.09722250752502117, 7.644884670541261e-13]","[0.01, 0.0002, 550244.5188384458, 28711.617674115634, 2.0, 411968943647.1155, 7.5e-08]"
0,"[0.08280344231113648, 2.2358637586945144e-11]","[0.01, 0.0002, 1275353.0402412394, 15945.42624778261, 1.5143870745609196, 2227216399970.871, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1901342.9635346811, 30419.697871893903, 0.1, 2962962978893.4756, 7.5e-08]"
0,"[0.08319138660676927, 1.065258075173825e-10]","[0.01, 0.0002, 438379.68635419954, 27002.909370572175, 0.1, 4865314806820.983, 7.5e-08]"
